Carl Smart;1001;M;29;carlsmart@gmail.dk;true;BUTTERFLY;1;22;2;22;1;22;1;22
Tage Stilling;1002;M;50;tagestilling@gmail.dk;true;BUTTERFLY;1;3;1;22;1;32;3;22
Frank Jensen;1003;M;34;jensen@gmail.dk;false;BUTTERFLY;1;43;3;22;1;11;2;22
Jens Hansen;1004;M;22;bonden@gmail.dk;true;BUTTERFLY;1;21;4;22;1;15;4;22
Mikkel Hansen;1005;M;35;theM@gmail.dk;true;BUTTERFLY;1;31;5;22;1;55;5;22
Anne Dam;1006;K;45;annedam@gmail.com;true;BUTTERFLY;1;56;5;22;1;40;1;22
Ella Stick;1007;K;64;ellastick@gmail.com;false;BUTTERFLY;1;54;5;22;1;40;1;22
Lykke Juul;1008;K;20;lykkejuul@gmail.com;true;BUTTERFLY;1;53;5;22;1;40;1;22
Karen Thæne;1009;K;30;karenthæne@gmail.com;true;BUTTERFLY;1;51;5;22;1;40;1;22
Lisbeth Skovby;1010;K;22;skoven@gmail.com;true;BUTTERFLY;1;32;5;22;1;40;1;22
Naja Ohlsen;1011;K;14;no@gmail.com;true;RYGCRAWL;3;27;2;22;3;22;5;22
Charlie Tomsen;1012;K;17;chart@gmail.com;true;RYGCRAWL;2;36;1;22;2;14;5;22
Fiona Mars;1013;K;13;fionaframars@gmail.com;false;RYGCRAWL;2;23;2;22;2;20;1;22
Fie Flettesen;1014;K;17;fletFiesen@gmail.com;false;RYGCRAWL;2;21;4;22;2;33;2;22
Katarina Kristensen;1015;K;16;katO@gmail.com;true;RYGCRAWL;2;35;4;22;2;12;3;22
Malene Madsen;1016;K;12;mam@gmail.com;true;RYGCRAWL;3;16;3;22;3;33;1;22
Kim Nedenskov;1017;M;14;nedern@gmail.com;false;RYGCRAWL;3;55;3;22;3;22;2;22
Kåre Dybvad;1018;M;15;dyb@gmail.com;true;RYGCRAWL;2;25;1;22;2;33;4;22
Mark Mand;1019;M;13;mm@gmail.com;true;RYGCRAWL;3;26;5;22;3;4;2;22
Steen Alderman;1020;M;14;stenaldermand@gmail.com;true;RYGCRAWL;2;24;1;22;2;40;1;22
Rune Steen;1021;M;17;runesteen@gmail.com;false;RYGCRAWL;2;34;4;22;2;7;5;22
Egil Nordmand;1022;M;43;egil@norge.no;true;BRYST;2;10;5;22;2;10;1;20
Geir Nordmand;1023;M;42;geir@norge.no;true;BRYST;2;11;5;22;2;11;1;21
Knut Nordmand;1024;M;41;knut@norge.no;true;BRYST;2;12;5;22;2;12;1;22
Eskil Nordmand;1025;M;40;eskil@norge.no;true;BRYST;2;13;5;22;2;13;1;23
Trond Nordmand;1026;M;29;trond@norge.no;true;BRYST;2;14;5;22;2;14;1;24
Egil jr Nordmand;1027;M;12;egiljr@norge.no;true;BRYST;3;10;5;22;2;10;2;20
